#id	分类	名称
$id	type	name
0	1	面包卷
1	1	录音带
2	1	圣诞铃
3	1	人妖
4	1	脚踏车
5	1	闹钟
6	1	大玉米
7	1	炼乳
8	1	骰子
9	1	情报员
10	1	篱笆
11	1	菱角
12	1	大树
13	1	鸭子
14	1	米老鼠
15	1	吉普车
16	1	白手套
17	1	刘德华
18	1	手枪
19	1	眼镜
20	1	猫
21	1	保龄球
22	1	筷子
23	1	时钟
24	1	巫婆
25	1	医师
26	1	月饼
27	1	石榴
28	1	拐杖
29	1	身份证
30	1	狗
31	1	鹅蛋
32	1	听诊器
33	1	饭团
34	1	戒指
35	1	高跟鞋
36	1	二胡
37	1	溜冰鞋
38	1	狮子
39	1	玫瑰花
40	1	瘦子
41	1	孙悟空
42	1	冰激凌
43	1	汉堡
44	1	马桶
45	1	手机
46	1	香烟
47	1	哨子
48	1	山鸡
49	1	鸟粪
50	1	辣椒
51	1	司令
52	1	死鱼
53	1	桌球
54	1	湿衫
55	1	香蕉
56	1	报纸
57	1	饲料
58	1	司机
59	1	丝瓜
60	1	咖啡
61	1	柠檬
62	1	鱼卵子
63	1	吾儿
64	1	舞衫
65	1	武士刀
66	1	海螺
67	1	洗发水
68	1	大炮
69	1	孤儿院
70	1	穷光蛋
71	1	榴莲
72	1	牛医
73	1	牛耳
74	1	硫酸
75	1	螺丝起子
76	1	尿壶
77	1	溜溜球
78	1	油漆
79	1	喇叭
80	1	太极
81	1	麒麟
82	1	弃婴
83	1	企鹅
84	1	旗杆
85	1	骑士
86	1	奇虎
87	1	气流
88	1	卢沟桥
89	1	青蛙
90	1	气球
91	1	巴黎铁塔
92	1	白衣
93	1	白鹅
94	1	爬山背包
95	1	巴士
96	1	宝物
97	1	芭蕾
98	1	白旗
99	1	爸爸
100	1	排球
101	1	酒瓶
102	1	旧衣
103	1	店小二
104	1	求神
105	1	求死
106	1	酒壶
107	1	酒肉朋友
108	1	香港脚
109	1	酒吧
110	1	醉汉
111	1	超人
